pair,confirm,n,z_in,z_tp,max_hold,confirm_window,is_pf,is_n,is_wr,oos_pf,oos_n,oos_wr,oos_net,oos_dd,oos_tp_rate,wfo_min,d_oos_pf,n_retained
AUDCAD,candle,40,2.5,0.0,12,6,0.8928768918342253,562,0.5142348754448398,1.0292962869911204,362,0.5718232044198895,109.82511175054228,385.4106464119903,0.40331491712707185,0.48128112034132736,-0.1077200654423438,0.6241379310344828
AUDCAD,rsi,40,2.5,0.0,12,6,1.0326245704647588,689,0.5224963715529753,1.1519770372852585,450,0.5377777777777778,669.8221305140546,365.1771593150676,0.38222222222222224,0.8907242498805779,0.014960684851794248,0.7758620689655172
AUDCAD,none,40,2.5,0.0,24,6,1.037106279181382,860,0.5023255813953489,1.2693563281477585,568,0.5475352112676056,1608.562710677293,387.2590589671976,0.5052816901408451,1.0654399282188725,0.0,1.0
AUDCAD,ema,40,2.5,0.0,24,6,0.9283417541107152,561,0.6648841354723708,1.2921534802048917,380,0.6947368421052632,1012.3905342628543,431.8545206433778,0.7684210526315789,0.7906502467014158,0.022797152057133285,0.6690140845070423
AUDCAD,candle,40,2.5,0.0,24,6,0.8405691773135054,554,0.5974729241877257,1.2536332889112947,357,0.6666666666666666,962.0101117505443,469.5221593150627,0.6918767507002801,0.8116833051844735,-0.015723039236463787,0.6285211267605634
AUDCAD,rsi,40,2.5,0.0,24,6,1.0244425111523652,677,0.6026587887740029,1.3335872727369276,443,0.6839729119638827,1613.919558018073,357.94715931506374,0.6772009029345373,0.9912631769624233,0.06423094458916911,0.7799295774647887
AUDCAD,none,40,2.5,0.0,48,6,1.1155874629583797,845,0.5325443786982249,1.4077742920639336,563,0.5879218472468917,2236.368166187888,327.66505013362394,0.6678507992895204,1.1139448696449206,0.0,1.0
AUDCAD,ema,40,2.5,0.0,48,6,1.0392579172129903,553,0.674502712477396,1.3800215730472172,376,0.7154255319148937,1235.558181239222,402.52916908060445,0.9175531914893617,0.8722125303238373,-0.027752719016716387,0.6678507992895204
AUDCAD,candle,40,2.5,0.0,48,6,0.9757949973580357,548,0.6240875912408759,1.4541918004135994,353,0.7138810198300283,1500.6677587269046,427.2046593150616,0.9008498583569405,0.8738248357016464,0.04641750834966585,0.6269982238010657
AUDCAD,rsi,40,2.5,0.0,48,6,1.106794538783892,662,0.6314199395770392,1.5576995059793146,438,0.726027397260274,2339.913030597123,446.4121593150611,0.8835616438356164,1.0799064583026763,0.14992521391538105,0.7779751332149201
AUDCAD,none,80,2.0,0.0,12,6,1.0215653923283086,1066,0.4915572232645403,1.0715323137960673,673,0.4918276374442793,514.2375895608548,486.2355243151287,0.19910846953937592,0.9596678693130679,0.0,1.0
AUDCAD,ema,80,2.0,0.0,12,6,0.8337461156495081,774,0.5,1.0245914940433596,517,0.539651837524178,129.03858195381693,427.12964355287846,0.3036750483558994,0.7889027058934092,-0.046940819752707696,0.7682020802377415
AUDCAD,candle,80,2.0,0.0,12,6,0.8114515740753319,755,0.4768211920529801,0.9982705980385215,489,0.5541922290388548,-9.171590371796214,394.3169632556844,0.25357873210633947,0.7736985086720238,-0.07326171575754581,0.7265973254086181
AUDCAD,rsi,80,2.0,0.0,12,6,0.8179291156868795,858,0.48484848484848486,0.9386007111179674,542,0.4907749077490775,-361.01088233068174,563.0909569572345,0.2140221402214022,0.7116076748437196,-0.1329316026780999,0.8053491827637445
AUDCAD,none,80,2.0,0.0,24,6,1.000498177710177,871,0.49483352468427094,1.217226334637902,574,0.5592334494773519,1549.8941883852235,496.6289420235206,0.36585365853658536,1.0201074456252952,0.0,1.0
