pair,entry_ts,exit_ts,direction,entry,exit,pnl_pips,pnl_r,exit_reason,bars_held
EURUSD,2025-06-22 20:00:00,2025-06-23 08:00:00,1,1.15035080909729,1.1476601615496012,-27.906475476888847,-0.9999999999999954,SL,3
AUDUSD,2025-06-23 16:00:00,2025-06-26 12:00:00,1,0.6458696722984314,0.6559976448994345,100.07972601003065,2.999999999999994,TP,17
AUDUSD,2025-06-27 16:00:00,2025-07-01 08:00:00,1,0.6526989340782166,0.6594208854640957,66.01951385879165,3.000000000000001,TP,11
GBPUSD,2025-06-30 04:00:00,2025-07-02 08:00:00,1,1.3704450130462646,1.3704450130462646,-1.5,0.0,SL,13
AUDUSD,2025-07-02 04:00:00,2025-07-03 12:00:00,1,0.656469464302063,0.6545377359847755,-20.517283172874954,-1.0000000000000002,SL,8
EURUSD,2025-07-03 08:00:00,2025-07-03 12:00:00,1,1.1786893606185913,1.1760479966260884,-27.41363992502921,-0.9999999999999678,SL,1
AUDUSD,2025-07-03 12:00:00,2025-07-04 04:00:00,1,0.6574795246124268,0.6553805098649754,-22.19014747451333,-0.9999999999999816,SL,4
EURUSD,2025-07-04 12:00:00,2025-07-07 04:00:00,1,1.1782727241516113,1.1758282534286257,-25.444707229855922,-1.0000000000000147,SL,5
GBPUSD,2025-07-07 12:00:00,2025-07-07 16:00:00,1,1.3636239767074585,1.3607265992472526,-30.473774602059077,-0.9999999999999798,SL,1
GBPUSD,2025-07-08 00:00:00,2025-07-08 08:00:00,1,1.3633451461791992,1.360425479700282,-30.69666478917282,-1.0000000000000127,SL,2
EURUSD,2025-07-08 04:00:00,2025-07-08 08:00:00,1,1.1763322353363037,1.1737016455570224,-27.305897792813226,-1.0000000000000202,SL,1
AUDUSD,2025-07-08 12:00:00,2025-07-10 16:00:00,1,0.6524689793586731,0.6591183426731035,65.29363314430445,3.0000000000000027,TP,13
GBPUSD,2025-07-09 20:00:00,2025-07-10 12:00:00,1,1.359933614730835,1.356897894382835,-31.857203480000372,-1.0000000000000133,SL,4
EURUSD,2025-07-10 04:00:00,2025-07-10 12:00:00,1,1.1735711097717285,1.1711271780369605,-25.43931734767979,-1.0000000000000167,SL,2
AUDUSD,2025-07-14 08:00:00,2025-07-14 16:00:00,1,0.6568187475204468,0.654936246107599,-20.025014128477366,-0.9999999999999867,SL,2
AUDUSD,2025-07-15 08:00:00,2025-07-15 12:00:00,1,0.6562971472740173,0.6546182674986998,-17.988797753175543,-0.9999999999999897,SL,1
EURUSD,2025-07-18 00:00:00,2025-07-22 12:00:00,1,1.1627906560897827,1.1724158249453338,95.25168855551091,3.000000000000018,TP,16
AUDUSD,2025-07-18 16:00:00,2025-07-23 04:00:00,1,0.6510586142539978,0.6572003680375685,60.217537835707354,2.9999999999999996,TP,16
EURUSD,2025-07-25 00:00:00,2025-07-25 08:00:00,1,1.1746740341186523,1.1721187155047053,-26.553186139470885,-1.0000000000000004,SL,2
EURUSD,2025-07-25 16:00:00,2025-07-28 04:00:00,1,1.1748120784759521,1.1720404085199094,-28.716699560427216,-0.9999999999999959,SL,4
GBPUSD,2025-08-01 12:00:00,2025-08-04 12:00:00,-1,1.3263126611709595,1.331590467845947,-54.278066749874505,-0.9999999999999952,SL,7
AUDUSD,2025-08-11 04:00:00,2025-08-12 12:00:00,-1,0.6517673134803772,0.6517673134803772,-1.2,-0.0,SL,8
GBPUSD,2025-08-11 16:00:00,2025-08-12 04:00:00,-1,1.342822551727295,1.3454616774629038,-27.891257356088715,-1.000000000000037,SL,3
EURUSD,2025-08-21 04:00:00,2025-08-22 00:00:00,-1,1.1661807298660278,1.1595911699839019,64.8955988212595,3.0000000000000266,TP,5
EURUSD,2025-08-26 08:00:00,2025-08-28 00:00:00,-1,1.1657729148864746,1.1657729148864746,-1.0,-0.0,SL,10
AUDUSD,2025-08-27 04:00:00,2025-08-27 12:00:00,-1,0.6480881571769714,0.6494846869813721,-15.165298044006368,-1.0000000000000264,SL,2
EURUSD,2025-09-09 12:00:00,2025-09-10 00:00:00,1,1.1726078987121582,1.1699459620068131,-27.619367053450915,-0.999999999999977,SL,3
GBPUSD,2025-09-09 16:00:00,2025-09-15 08:00:00,1,1.3519359827041626,1.3606921875487104,86.06204844547754,3.0000000000000075,TP,23
EURUSD,2025-09-12 08:00:00,2025-09-16 04:00:00,1,1.1724703311920166,1.1795333730808282,69.63041888811571,2.999999999999954,TP,12
