pair,ci_th,atr_mult,max_levels,is_pf,is_net,is_ntp,is_loss_ev,oos_pf,oos_net,oos_ntp,oos_loss_ev,oos_worst,oos_dd
NZDJPY,70.0,2.0,5,inf,365459.0,10,0,inf,0.0,0,0,0.0,0.0
NZDJPY,70.0,2.0,7,inf,365459.0,10,0,inf,0.0,0,0,0.0,0.0
NZDJPY,70.0,2.5,3,inf,420627.0,9,0,inf,0.0,0,0,0.0,0.0
NZDJPY,70.0,2.5,5,inf,420627.0,9,0,inf,0.0,0,0,0.0,0.0
NZDJPY,70.0,2.5,7,inf,420627.0,9,0,inf,0.0,0,0,0.0,0.0
NZDJPY,70.0,3.0,3,inf,325245.0,6,0,inf,0.0,0,0,0.0,0.0
NZDJPY,70.0,3.0,5,inf,325245.0,6,0,inf,0.0,0,0,0.0,0.0
NZDJPY,70.0,3.0,7,inf,325245.0,6,0,inf,0.0,0,0,0.0,0.0
AUDCAD,55.0,1.0,3,1.7057,4127048.0,490,36,1.4548,3941821.0,566,45,-572939.0,898844.0
AUDCAD,55.0,1.0,5,2.0073,5819325.0,566,13,1.3171,3365376.0,625,22,-647567.0,1414298.0
AUDCAD,55.0,1.0,7,1.7793,5097198.0,570,12,1.3268,3543082.0,645,20,-689366.0,1414298.0
AUDCAD,55.0,1.5,3,1.6208,2644172.0,221,24,1.2793,2027949.0,273,34,-533088.0,777808.0
AUDCAD,55.0,1.5,5,1.6034,2758374.0,236,9,1.3484,2475465.0,285,13,-761185.0,823949.0
AUDCAD,55.0,1.5,7,1.5743,2662642.0,235,9,1.3103,2262142.0,284,13,-761185.0,1037271.0
AUDCAD,55.0,2.0,3,1.1435,577159.0,109,20,1.2422,1359997.0,153,22,-635471.0,945770.0
AUDCAD,55.0,2.0,5,1.1525,629798.0,114,8,1.2516,1432186.0,157,10,-717983.0,903975.0
AUDCAD,55.0,2.0,7,1.1525,629798.0,114,8,1.2516,1432186.0,157,10,-717983.0,903975.0
AUDCAD,55.0,2.5,3,1.1705,615591.0,79,13,1.2735,1340103.0,109,17,-599725.0,870128.0
AUDCAD,55.0,2.5,5,0.959,-174935.0,76,8,1.2262,1114385.0,109,9,-599725.0,1175158.0
