pair,method,trail_mult,atr_trail_mult,trail_start_mult,keep_tp,slope_exit_bars,div_exit_th,tight_mult,PF,win_rate,n_trades,max_dd,avg_win,avg_loss,real_rr
EURUSD,slope_exit,,,,,3,,,2.67,0.467,30,0.006964,0.007415,0.00243,3.051
EURUSD,slope_exit,,,,,5,,,2.67,0.467,30,0.006964,0.007415,0.00243,3.051
EURUSD,div_tighten,,,,,,2.0,0.3,2.67,0.467,30,0.006964,0.007415,0.00243,3.051
EURUSD,div_tighten,,,,,,2.0,0.5,2.67,0.467,30,0.006964,0.007415,0.00243,3.051
EURUSD,div_tighten,,,,,,2.0,0.7,2.67,0.467,30,0.006964,0.007415,0.00243,3.051
EURUSD,fixed_trail,2.0,,,True,,,,2.668,0.467,30,0.006964,0.007081,0.002323,3.049
EURUSD,div_tighten,,,,,,1.0,0.5,2.65,0.469,32,0.00545,0.005977,0.00199,3.004
EURUSD,combined,,1.5,1.5,True,2,,,2.643,0.5,30,0.007846,0.006706,0.002537,2.643
EURUSD,div_tighten,,,,,,1.5,0.3,2.638,0.5,32,0.00545,0.005969,0.002262,2.638
EURUSD,slope_exit,,,,,2,,,2.601,0.467,30,0.007846,0.007415,0.002494,2.973
EURUSD,div_tighten,,,,,,1.0,0.7,2.568,0.438,32,0.00545,0.006753,0.002045,3.302
EURUSD,fixed_trail,1.5,,,True,,,,2.563,0.452,31,0.006964,0.006694,0.002151,3.112
EURUSD,atr_trail,,2.0,2.0,True,,,,2.538,0.467,30,0.006964,0.00705,0.00243,2.901
EURUSD,atr_trail,,1.5,0.0,True,,,,2.489,0.438,32,0.006964,0.006447,0.002015,3.2
EURUSD,combined,,1.5,0.0,True,3,,,2.489,0.438,32,0.006964,0.006447,0.002015,3.2
EURUSD,combined,,1.5,0.0,True,5,,,2.489,0.438,32,0.006964,0.006447,0.002015,3.2
EURUSD,combined,,1.5,0.0,True,2,,,2.403,0.438,32,0.007846,0.006447,0.002086,3.09
