sym,entry_time,exit_time,session,direction,entry,exit,sl,tp,rh,rl,sh,sl_level,result,pnl,pnl_pips,rr,atr
GBPJPY,2023-10-15 21:15:00,2023-10-15 23:45:00,13,long,181.541,181.78,180.95494401648835,182.1025,182.938,181.267,182.972,181.249,timeout,0.21900000000000433,21.900000000000432,0.9580995942324358,1.2603732234110832
GBPJPY,2023-10-29 22:00:00,2023-10-29 23:45:00,13,long,181.333,181.367,180.85110002344734,181.7665,182.496,181.037,183.752,180.984,timeout,0.013999999999991814,1.3999999999991815,0.899564268712189,1.192666510350958
GBPJPY,2023-12-03 22:15:00,2023-12-03 23:45:00,13,long,186.385,186.0318867551164,186.0318867551164,186.8505,187.514,186.187,188.521,184.454,sl,-0.37311324488358766,-37.311324488358764,1.3182739722875119,1.1740882992240038
GBPJPY,2023-12-17 22:30:00,2023-12-17 23:45:00,13,long,180.094,180.345,179.54250047808853,180.76850000000002,181.723,179.814,184.32,178.527,timeout,0.23100000000000478,23.100000000000477,1.223029165396633,1.7566634794099854
GBPJPY,2024-01-01 22:30:00,2024-01-01 23:45:00,13,long,179.35399999999998,179.6,178.91151992643236,179.91250000000002,180.525,179.3,182.183,178.329,timeout,0.22600000000000933,22.600000000000932,1.2622037315646122,1.5965338237843774
GBPJPY,2024-02-27 13:45:00,2024-02-27 15:45:00,13,long,190.541,190.8195,190.22655808076263,190.8195,191.311,190.328,192.267555,188.9,tp,0.25850000000000817,25.850000000000815,0.8856961586911466,0.8896127949159681
GBPJPY,2024-05-24 13:45:00,2024-05-24 20:45:00,13,short,199.809,199.891,200.13966793864367,199.4335,199.888,198.979,200.88744,195.038,timeout,-0.10199999999999364,-10.199999999999363,1.135580309177262,1.364452924291108
GBPJPY,2024-05-31 13:30:00,2024-05-31 19:15:00,13,short,199.936,200.26807189101118,200.26807189101118,199.44549999999998,200.142,198.749,200.734,195.038,sl,-0.352071891011168,-35.207189101116796,1.4770897907270617,1.1871459400744815
GBPJPY,2024-06-13 13:45:00,2024-06-13 14:45:00,13,short,200.882,200.4265,201.20833148625908,200.4265,200.93,199.923,201.93464999999998,198.933,tp,0.43550000000000066,43.55000000000007,1.3958199535743638,1.2288765750605435
GBPJPY,2024-06-23 21:30:00,2024-06-23 23:45:00,13,short,201.811,202.074,202.16619759362888,201.2385,202.04,200.437,203.05019999999996,199.054,timeout,-0.28300000000000525,-28.300000000000523,1.611778937326345,1.1479839575258028
GBPJPY,2024-08-04 21:15:00,2024-08-04 22:00:00,13,long,187.541,187.11906282142334,187.11906282142334,188.9345,190.499,187.37,199.459,186.43315,sl,-0.4419371785766555,-44.19371785766555,3.3026243496740193,2.2462478571776465
GBPJPY,2024-08-25 22:00:00,2024-08-25 23:00:00,13,long,190.557,189.82666394717134,189.82666394717134,191.1465,192.027,190.266,197.58,188.227,sl,-0.7503360528286476,-75.03360528286476,0.8071626721929398,2.295573685524428
GBPJPY,2024-09-29 21:45:00,2024-09-29 23:45:00,13,long,190.189,191.078,189.62086616500497,192.97899999999998,195.962,189.996,196.94180999999998,183.755,timeout,0.86900000000001,86.900000000001,4.9108147203104515,2.200892233300131
GBPJPY,2025-02-09 22:15:00,2025-02-09 23:45:00,13,long,187.16299999999998,188.156,186.70095692222458,188.30849999999998,189.575,187.042,193.165,186.10679,timeout,0.9730000000000234,97.30000000000234,2.4792060634589035,1.8602871851694465
GBPJPY,2025-02-16 22:30:00,2025-02-16 23:45:00,13,long,191.611,191.24585417640023,191.24585417640023,191.983,192.495,191.471,193.165,187.243,sl,-0.3851458235997609,-38.51458235997609,1.0187710661255327,1.7943054906651035
GBPJPY,2025-03-30 21:15:00,2025-03-30 22:00:00,13,long,193.69799999999998,193.3151542877561,193.3151542877561,194.7175,195.711,193.724,195.969,193.463,sl,-0.402845712243892,-40.2845712243892,2.6629526396538283,1.6123047482926156
GBPJPY,2025-04-13 21:45:00,2025-04-13 23:45:00,13,short,188.15,187.999,188.79440707757396,187.101,188.191,186.011,189.822,184.365,timeout,0.13100000000001047,13.100000000001046,1.6278530086125758,2.3360471838265164
GBPJPY,2025-05-18 21:45:00,2025-05-18 23:45:00,13,long,192.992,193.227,192.579073715184,193.413,193.798,193.028,196.402,190.23,timeout,0.21500000000001365,21.500000000001364,1.0195524370351552,1.4795085654399933
GBPJPY,2025-08-03 21:15:00,2025-08-03 23:45:00,13,long,195.527,195.835,195.18868501742156,197.3145,199.3,195.329,199.97,194.35235500000002,timeout,0.28800000000002113,28.80000000000211,5.283537803666926,1.3287665505229977
GBPJPY,2026-03-15 21:15:00,2026-03-15 23:45:00,13,long,211.015,211.36,210.79438039874915,211.9675,212.872,211.063,213.298,209.176,timeout,0.32500000000002727,32.50000000000273,4.317386100780222,1.344130675005665
GBPJPY,2026-03-29 21:30:00,2026-03-29 23:45:00,13,long,212.29299999999998,212.109,212.08157144263163,212.65949999999998,213.095,212.224,213.301,211.574,timeout,-0.20399999999996907,-20.399999999996908,1.7334460612219316,1.0895237157891033
GBPJPY,2026-04-05 21:30:00,2026-04-05 23:45:00,13,long,210.417,210.672,210.10884329471793,210.78300000000002,211.296,210.27,211.437,209.614,timeout,0.23499999999999546,23.499999999999545,1.187707402521044,1.1277113685470508
GBPJPY,2026-04-12 21:15:00,2026-04-12 22:15:00,13,long,213.688,214.061,213.35793434486988,214.061,214.58,213.542,215.6529,210.27,tp,0.35300000000001885,35.30000000000189,1.1300781956637715,1.1271043675341
GBPJPY,2026-04-15 13:30:00,2026-04-15 21:30:00,13,short,215.64100000000002,215.3425,215.9151762916621,215.3425,215.782,214.903,216.86091,213.522,tp,0.2785000000000184,27.850000000001838,1.0887155785442946,1.1078419444141479
GBPJPY,2026-05-17 21:30:00,2026-05-17 23:45:00,13,long,211.308,211.415,210.94543487268137,211.689,212.093,211.285,214.417,210.747,timeout,0.08699999999999931,8.699999999999932,1.0508456861742856,1.2904341821242504
GBPJPY,2026-05-22 13:45:00,2026-05-22 20:45:00,13,short,213.764,213.772,214.07523846670568,213.494,213.817,213.171,214.417,211.099,timeout,-0.027999999999981356,-2.7999999999981355,0.8675020245981941,1.201589778037907
