sym,sessions,zone_tol_atr,sl_buf_atr,tp_mode,min_rr,body_filter,full_n,full_wr,full_pf,full_net_pips,full_max_dd_pips,full_avg_rr,full_sharpe,full_n_tp,full_n_sl,full_n_to,IS_n,IS_wr,IS_pf,IS_net_pips,IS_max_dd_pips,IS_avg_rr,IS_sharpe,IS_n_tp,IS_n_sl,IS_n_to,OOS_n,OOS_wr,OOS_pf,OOS_net_pips,OOS_max_dd_pips,OOS_avg_rr,OOS_sharpe,OOS_n_tp,OOS_n_sl,OOS_n_to
USDJPY,[8],0.05,0.05,rh_rl,1.2,True,454,0.3084,0.7592,-1242.8505,1385.9307,4.806,-1.6374,42,282,130,268,0.3209,0.6607,-854.6576,969.5988,4.6664,-2.6615,28,160,80,186,0.2903,0.8531,-388.1929,422.7066,5.0072,-0.9557,14,122,50
USDJPY,[8],0.05,0.05,rh_rl,1.2,False,496,0.3145,0.7729,-1244.2164,1412.8959,4.9306,-1.5267,46,304,146,293,0.3242,0.6531,-934.4357,1006.9072,4.6611,-2.7341,29,172,92,203,0.3005,0.8888,-309.7807,456.8634,5.3194,-0.7083,17,132,54
USDJPY,[8],0.05,0.05,rh_rl,1.5,True,427,0.3091,0.7991,-963.0204,1399.3043,5.0242,-1.3279,36,265,126,256,0.3086,0.6435,-874.0472,992.669,4.8208,-2.8196,22,155,79,171,0.3099,0.962,-88.9732,416.6905,5.3287,-0.2325,14,110,47
USDJPY,[8],0.05,0.05,rh_rl,1.5,False,468,0.3162,0.8043,-1008.8805,1405.1754,5.1449,-1.2872,40,288,140,278,0.3165,0.6437,-926.7153,1016.1703,4.8386,-2.8183,23,166,89,190,0.3158,0.9679,-82.1653,456.8634,5.593,-0.1962,17,122,51
USDJPY,[8],0.05,0.05,mid,0.8,True,371,0.3612,0.7268,-1086.7743,1371.2514,2.5485,-2.1169,88,218,65,220,0.3591,0.6513,-698.1666,899.501,2.442,-2.9116,50,127,43,151,0.3642,0.8033,-388.6077,500.9182,2.7036,-1.4888,38,91,22
USDJPY,[8],0.05,0.05,mid,0.8,False,408,0.3603,0.7153,-1235.317,1361.5825,2.6048,-2.2259,95,239,74,235,0.3617,0.6684,-696.3045,851.6524,2.4793,-2.7243,53,133,49,173,0.3584,0.7593,-539.0125,561.3652,2.7754,-1.8725,42,106,25
USDJPY,[8],0.05,0.05,mid,1.2,True,314,0.3408,0.7292,-945.2672,1200.4669,2.8301,-2.1074,65,191,58,181,0.337,0.6538,-604.5147,800.16,2.7555,-2.8982,35,109,37,133,0.3459,0.8046,-340.7526,418.6747,2.9316,-1.4728,30,82,21
USDJPY,[8],0.05,0.05,mid,1.2,False,344,0.3401,0.7171,-1077.3705,1205.0534,2.9038,-2.2244,69,209,66,192,0.3385,0.6649,-614.3984,749.8571,2.8121,-2.7742,36,114,42,152,0.3421,0.7656,-462.9721,481.6313,3.0197,-1.8138,33,95,24
USDJPY,[8],0.05,0.05,mid,1.5,True,267,0.3146,0.6791,-977.9126,1251.4026,3.0916,-2.5622,44,169,54,153,0.3203,0.6205,-560.646,736.3486,3.0119,-3.244,24,95,34,114,0.307,0.7342,-417.2667,521.9218,3.1987,-2.081,20,74,20
USDJPY,[8],0.05,0.05,mid,1.5,False,300,0.3233,0.6876,-1051.1358,1170.0595,3.1323,-2.4832,50,187,63,168,0.3333,0.6517,-549.772,665.2881,3.0189,-2.8969,27,101,40,132,0.3106,0.7193,-501.3638,519.7065,3.2765,-2.224,23,86,23
