dc,adx_th,trail,atr_p,seg,N,WR,PF,net_R,avg_R,Sharpe,maxDD_pct,ddwin_R
10,30,3.0,10,IS,40,37.5,0.763,-2.74,-0.068,-0.467,6.66,0.82
10,30,3.0,10,OOS,20,45.0,0.908,-0.54,-0.027,-0.175,3.93,0.0
10,30,3.0,14,IS,40,35.0,0.774,-2.8,-0.07,-0.443,7.09,0.97
10,30,3.0,14,OOS,20,45.0,0.84,-0.98,-0.049,-0.318,4.16,0.0
10,30,3.0,20,IS,40,37.5,0.83,-2.26,-0.057,-0.327,6.93,1.15
10,30,3.0,20,OOS,20,50.0,0.795,-1.3,-0.065,-0.42,4.29,0.0
10,30,4.0,10,IS,28,42.9,1.131,0.78,0.028,0.172,2.47,1.16
10,30,4.0,10,OOS,13,53.8,1.891,1.69,0.13,0.813,1.83,0.0
10,30,4.0,14,IS,26,38.5,1.28,1.72,0.066,0.344,2.59,1.27
10,30,4.0,14,OOS,13,53.8,1.738,1.54,0.118,0.708,2.03,0.0
10,30,4.0,20,IS,28,32.1,1.049,0.38,0.013,0.071,4.38,0.32
10,30,4.0,20,OOS,13,53.8,1.721,1.61,0.124,0.7,2.17,0.0
15,OFF,2.0,10,IS,93,37.6,0.959,-1.54,-0.017,-0.134,12.01,4.52
15,OFF,2.0,10,OOS,62,32.3,0.706,-8.21,-0.132,-1.015,10.37,-0.19
15,OFF,2.0,14,IS,94,37.2,0.95,-1.96,-0.021,-0.166,12.17,3.77
15,OFF,2.0,14,OOS,60,33.3,0.726,-7.38,-0.123,-0.913,9.75,0.21
15,OFF,2.0,20,IS,94,36.2,1.06,2.3,0.024,0.194,11.57,2.95
15,OFF,2.0,20,OOS,60,33.3,0.798,-5.4,-0.09,-0.61,7.9,0.11
15,OFF,3.0,10,IS,67,40.3,0.792,-4.95,-0.074,-0.58,12.24,0.67
15,OFF,3.0,10,OOS,38,36.8,0.715,-4.54,-0.12,-0.807,5.21,0.55
15,OFF,3.0,14,IS,67,38.8,0.787,-5.4,-0.081,-0.593,12.81,0.54
15,OFF,3.0,14,OOS,39,38.5,0.664,-5.64,-0.145,-0.99,6.01,0.59
