pair,sizing_mode,n,z_in,z_tp,z_stop,max_hold,is_pf,is_n,is_net,is_dd,oos_pf,oos_n,oos_net,oos_dd,oos_wr,oos_avglot,wfo_min
AUDCAD,voladj,40,2.0,1.0,4.0,24,0.9451438580856275,1589,-580.6790582975,1000.3167748732118,1.1278953059825487,1073,778.1166222219258,252.25198429771154,0.6486486486486487,0.8355079217148182,1.002173391044871
AUDCAD,combo,40,2.0,1.0,4.0,24,0.9504113590337988,1589,-780.0927423677822,1401.7896655894308,1.172794159080104,1073,1545.2456322497,416.63982748428873,0.6486486486486487,1.2440359303272042,1.050862297990021
AUDCAD,fixed,40,2.0,1.0,4.0,48,0.9706194167911075,1584,-375.27640941153237,1027.7259893822848,1.1416943969511733,1072,1036.200680585047,379.4665669485348,0.6492537313432836,1.0,1.0577783960548874
AUDCAD,zscale,40,2.0,1.0,4.0,48,0.9780079723712185,1584,-420.5923296017211,1464.5225286222299,1.1856142158820904,1072,2006.505131398065,548.4098553167377,0.6492537313432836,1.4940397750371919,1.1036809558665706
AUDCAD,voladj,40,2.0,1.0,4.0,48,0.9497500500199012,1584,-526.1086688481963,954.4229550300355,1.1388777636830683,1072,836.7861392762869,251.5609050804117,0.6492537313432836,0.8353544776119403,1.011981233668575
AUDCAD,combo,40,2.0,1.0,4.0,48,0.9565217538476833,1584,-675.9940710761689,1253.9811222554536,1.18253029935133,1072,1618.873633611543,446.6391134174991,0.6492537313432836,1.2441226371212069,1.057308104214734
AUDCAD,fixed,40,2.5,0.0,4.0,24,1.037106279181382,860,411.4032695084871,1110.6352116237917,1.2693563281477585,568,1608.562710677293,387.2590589671976,0.5475352112676056,1.0,1.0654399282188725
AUDCAD,zscale,40,2.5,0.0,4.0,24,1.0485220420296322,860,739.4471018441509,1471.845054181039,1.3289585004915476,568,2617.2694690704448,455.4413510491302,0.5475352112676056,1.4413929248799038,1.100357609288006
AUDCAD,voladj,40,2.5,0.0,4.0,24,1.0181681714636994,860,163.02250241048847,774.6443815312313,1.250244643121724,568,1247.500075975317,382.03618979523435,0.5475352112676056,0.8362676056338029,0.967030584705448
AUDCAD,combo,40,2.5,0.0,4.0,24,1.037958600037932,860,463.4039170842214,951.4044968900997,1.3061258060564471,568,2025.094055454022,412.9965719417367,0.5475352112676056,1.1984565673222936,1.0089350807617472
AUDCAD,fixed,40,2.5,0.0,4.0,48,1.1155874629583797,845,1190.9923790132639,806.4770536855226,1.4077742920639336,563,2236.368166187888,327.66505013362394,0.5879218472468917,1.0,1.1139448696449206
AUDCAD,zscale,40,2.5,0.0,4.0,48,1.1228188800700754,845,1750.1537514712454,1111.6447040489024,1.4699021989916445,563,3436.2389061247586,479.83283274339595,0.5879218472468917,1.4404703852453804,1.174795220496758
AUDCAD,voladj,40,2.5,0.0,4.0,48,1.1217015469933822,845,993.1666262849577,490.1654244269305,1.4012254296971278,563,1812.9689514374077,314.1639784375691,0.5879218472468917,0.8357015985790408,1.0533362783663334
AUDCAD,combo,40,2.5,0.0,4.0,48,1.139556139809723,845,1557.0552106909495,722.4292502936792,1.4687199565120697,563,2798.942832981772,460.48335338231436,0.5879218472468917,1.1981439364086164,1.0929144153822588
AUDCAD,fixed,40,2.5,1.0,4.0,24,0.9825088871230349,887,-136.30764649085964,828.1261172387763,1.1115035145817067,600,512.7724286676338,272.7837735622269,0.5766666666666667,1.0,0.9860779102642219
AUDCAD,zscale,40,2.5,1.0,4.0,24,0.9935010919795536,887,-70.19763809725578,1107.6861533330903,1.1454010594563147,600,915.0879008861272,347.270960070406,0.5766666666666667,1.4325169698684455,0.9718258758641416
AUDCAD,voladj,40,2.5,1.0,4.0,24,0.9661907298988325,887,-212.85292264207774,690.889187421335,1.1025102311745838,600,386.1139087162923,207.38727851850405,0.5766666666666667,0.8366666666666667,0.9381861148505163
AUDCAD,combo,40,2.5,1.0,4.0,24,0.9789342069013361,887,-181.86393888990906,916.7789092184148,1.133833937757277,600,686.8836746333826,340.0810836463951,0.5766666666666667,1.1918001608384141,0.9239687859274519
AUDCAD,fixed,40,2.5,1.0,4.0,48,0.9915556020547086,886,-65.0445307137845,834.4495003767399,1.1317295253183608,600,594.959536185321,272.7837735622269,0.5766666666666667,1.0,1.0057977266975595
AUDCAD,zscale,40,2.5,1.0,4.0,48,1.0002025499363714,886,2.167601994028871,1136.3146576733043,1.1633560441702149,600,1012.2210863146161,364.1840070217082,0.5766666666666667,1.4325169698684455,0.9846436519153745
AUDCAD,voladj,40,2.5,1.0,4.0,48,0.9745534419139196,886,-158.58080366170594,658.390913592286,1.1249771089757838,600,461.3363234877315,211.923067797128,0.5766666666666667,0.8366666666666667,0.9579890030762467
