pair,grp,year,pf,net,n_tp,n_fs,n_b48,n_force,tp_fs_ratio,max_dd,worst,trend_atr,path_eff,rng_atr,gate_share
EURUSD,ANCHOR_NOGO,2019,inf,75446.0,3,0,0,0,3.0,0.0,0.0,26.691785983421124,0.03468984807766161,72.86963074604304,0.004336652746546739
EURUSD,ANCHOR_NOGO,2020,1.055,64331.0,38,1,0,1,38.0,1169630.0,-1169630.0,70.24943538268491,0.09017036589435351,117.64918444165575,0.03024
EURUSD,ANCHOR_NOGO,2021,0.987,-31028.0,87,1,2,3,29.0,1302980.0,-1132430.0,77.08005082591859,0.10023711757561733,103.48792884370677,0.06955128205128205
EURUSD,ANCHOR_NOGO,2022,0.5969,-2355325.0,96,4,1,5,19.2,3122342.0,-1395775.0,37.58189827793307,0.049379350988986666,109.8414096916288,0.07564102564102564
EURUSD,ANCHOR_NOGO,2023,1.2668,523762.0,65,1,1,2,32.5,1224655.0,-1224655.0,26.514568444201085,0.0321328968109614,63.67344694887557,0.05108433734939759
EURUSD,ANCHOR_NOGO,2024,0.6172,-502659.0,27,0,2,2,13.5,927155.0,-851415.0,69.2188841201721,0.08399460451325168,88.27610872675321,0.01952
EURUSD,ANCHOR_NOGO,2025,1.804,430086.0,30,0,1,1,30.0,534905.0,-534905.0,99.72848360655853,0.12433162252543829,124.8954918032802,0.026987951807228915
EURUSD,ANCHOR_NOGO,2026,0.8236,-296974.0,56,0,2,2,28.0,1163602.0,-843355.0,14.358762886597905,0.03825785044059186,55.373195876288044,0.10436713545521836
NZDCAD,CAND_RESOURCE,2015,2.182,1463088.0,81,1,1,2,40.5,772308.0,-772308.0,20.48590504451022,0.030737704918032793,69.42359050445049,0.06548956661316212
NZDCAD,CAND_RESOURCE,2016,1.148,163651.0,41,1,1,2,20.5,774684.0,-774684.0,9.096952908587188,0.013272977123918835,74.34349030470862,0.03811659192825112
NZDCAD,CAND_RESOURCE,2017,0.889,-173818.0,56,2,0,2,28.0,774144.0,-791856.0,25.54744525547449,0.03563216206457497,76.01557177615588,0.04279967819790829
NZDCAD,CAND_RESOURCE,2018,0.5744,-1227042.0,70,3,2,5,14.0,1904337.0,-815616.0,19.34076965978815,0.02762751374683509,93.46346904629173,0.06987951807228916
NZDCAD,CAND_RESOURCE,2019,0.3971,-498632.0,17,1,0,1,17.0,827064.0,-827064.0,36.61331626120361,0.05251520176893299,93.59026888604369,0.0157429718875502
NZDCAD,CAND_RESOURCE,2020,3.0126,1798023.0,121,0,2,2,60.5,592488.0,-592488.0,30.485838779956282,0.040815909833387655,91.94553376906298,0.1272
NZDCAD,CAND_RESOURCE,2021,1.4565,362490.0,59,1,0,1,59.0,794016.0,-794016.0,42.926102502979695,0.061559262006748196,65.11084624553033,0.04599358974358975
NZDCAD,CAND_RESOURCE,2022,1.1092,113091.0,48,1,1,2,24.0,857736.0,-857736.0,0.7286508337544009,0.001038055309199363,84.45275391611892,0.039756332157742866
NZDCAD,CAND_RESOURCE,2023,1.3786,834258.0,124,2,1,3,41.333333333333336,1175622.0,-839376.0,13.603269754768501,0.0205343775192906,60.47084468664894,0.1126669885723483
NZDCAD,CAND_RESOURCE,2024,0.9836,-26279.0,84,1,2,3,28.0,913152.0,-778140.0,32.3937232524964,0.04531992176585631,57.35805991440802,0.07666345226615236
NZDCAD,CAND_RESOURCE,2025,2.7977,1743305.0,137,0,3,3,45.666666666666664,367150.0,-400788.0,14.398411647914797,0.021278052387276987,47.40172071475681,0.1423974255832663
NZDCAD,CAND_RESOURCE,2026,0.8373,-302643.0,76,2,1,3,25.333333333333332,901615.0,-788724.0,24.544191919191938,0.0693591088465957,34.832070707070834,0.17697533071147659
GBPCHF,CAND_EUROPE,2015,0.9226,-409694.0,70,3,0,3,23.333333333333332,1992734.0,-2044080.0,26.52845100105345,0.031810402395177836,139.01896733403424,0.03566265060240964
GBPCHF,CAND_EUROPE,2016,0.4563,-3504186.0,48,3,1,4,12.0,4188697.0,-2187050.0,85.95782024062268,0.10714744444773792,127.9399858457182,0.03445512820512821
GBPCHF,CAND_EUROPE,2017,inf,671069.0,19,0,0,0,19.0,0.0,0.0,31.80551301684511,0.04135076374177731,72.87825421133157,0.015107682417229186
GBPCHF,CAND_EUROPE,2018,1.1025,335568.0,88,2,0,2,44.0,1818253.0,-1699660.0,36.524522028262716,0.051581040660026986,85.89692435577737,0.05334190231362468
GBPCHF,CAND_EUROPE,2019,1.2994,680188.0,77,1,1,2,38.5,1691767.0,-1731110.0,18.934472934473217,0.0236018580337229,99.59544159544348,0.06985707403243938
GBPCHF,CAND_EUROPE,2020,1.4742,2104618.0,152,1,4,5,30.4,1525975.0,-1583550.0,36.47010463378172,0.04762262604180883,90.43497757847533,0.14048
GBPCHF,CAND_EUROPE,2021,1.1058,354225.0,95,1,3,4,23.75,2224741.0,-1660560.0,17.005166744951065,0.0243893237762899,76.09581963363192,0.06300096184674575
GBPCHF,CAND_EUROPE,2022,0.8471,-743580.0,85,3,0,3,28.333333333333332,3049381.0,-1628940.0,58.86340014847817,0.08032877567230205,126.62880475129927,0.0698941968579673
GBPCHF,CAND_EUROPE,2023,1.4616,1754503.0,159,2,1,3,53.0,1824464.0,-1653760.0,32.159629248197774,0.052026963985818284,62.610710607620945,0.14421374537260584
GBPCHF,CAND_EUROPE,2024,inf,2491441.0,69,0,0,0,69.0,0.0,0.0,54.05868814729451,0.06965230928905021,82.05063291139041,0.04081959340483432
GBPCHF,CAND_EUROPE,2025,0.8218,-1219331.0,158,3,3,6,26.333333333333332,3063254.0,-1665320.0,50.92815533980524,0.0694715205967111,88.51262135922245,0.15809768637532134
GBPCHF,CAND_EUROPE,2026,2.0612,859775.0,61,0,1,1,61.0,810220.0,-810220.0,3.0174947515744712,0.009464691782926617,51.36599020293861,0.1465856274579907
AUDCHF,CAND_CHF,2015,0.8531,-668531.0,85,4,0,4,21.25,2971327.0,-1272110.0,46.4097346898065,0.059315681641336146,105.02373828047078,0.08303886925795052
AUDCHF,CAND_CHF,2016,1.8056,919336.0,52,1,0,1,52.0,1141210.0,-1141210.0,1.654309545875833,0.002265317544218157,59.13994439295596,0.042955601859272316
AUDCHF,CAND_CHF,2017,0.294,-740453.0,11,1,0,1,11.0,1048730.0,-1048730.0,21.67686658506743,0.029947916666666678,56.574051407589074,0.007713321549092078
