pair,ci_th,atr_mult,max_levels,float_stop,is_pf,is_net,is_ntp,is_lev,oos_pf,oos_net,oos_ntp,oos_lev,oos_worst,oos_dd
GBPJPY,70.0,1.5,5,-1500000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,5,-2000000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,5,-3000000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,7,-500000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,7,-750000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,7,-1000000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,7,-1500000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,7,-2000000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,1.5,7,-3000000.0,inf,568403.0,9,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,3,-500000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,3,-750000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,3,-1000000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,3,-1500000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,3,-2000000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,3,-3000000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,5,-500000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,5,-750000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,5,-1000000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,5,-1500000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,5,-2000000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,5,-3000000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,7,-500000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,7,-750000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,7,-1000000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,7,-1500000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,7,-2000000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,2.0,7,-3000000.0,inf,606542.0,7,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,3,-500000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,3,-750000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,3,-1000000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,3,-1500000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,3,-2000000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,3,-3000000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,5,-500000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,5,-750000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,5,-1000000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,5,-1500000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,5,-2000000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,5,-3000000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,7,-500000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,7,-750000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,7,-1000000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,7,-1500000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,7,-2000000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
GBPJPY,70.0,3.0,7,-3000000.0,inf,661778.0,5,0,inf,0.0,0,0,0.0,0.0
CHFJPY,61.8,1.0,3,-300000.0,0.877,-845346.0,210,20,0.8238,-1021509.0,192,19,-407100.0,1296625.0
CHFJPY,61.8,1.0,3,-500000.0,1.0632,343850.0,202,12,0.9413,-284029.0,182,12,-639400.0,1112711.0
CHFJPY,61.8,1.0,3,-750000.0,0.8933,-653106.0,192,12,0.9105,-422408.0,171,11,-846901.0,1241102.0
CHFJPY,61.8,1.0,3,-1000000.0,0.8375,-1039915.0,189,12,1.06,237350.0,170,10,-1020799.0,999271.0
CHFJPY,61.8,1.0,3,-1500000.0,0.9189,-473114.0,189,11,1.0405,161768.0,168,10,-1056802.0,1056802.0
CHFJPY,61.8,1.0,3,-2000000.0,0.8192,-1182315.0,189,11,1.0405,161768.0,168,10,-1056802.0,1056802.0
CHFJPY,61.8,1.0,5,-300000.0,0.9452,-371126.0,226,19,0.7362,-1791905.0,203,21,-355403.0,2094649.0
CHFJPY,61.8,1.0,5,-500000.0,0.9665,-219127.0,222,12,0.8325,-1060268.0,213,11,-686902.0,2035279.0
