pair,lb,adx,er_n,er_th,dir,full_pf,full_n,full_net,full_sh,full_dd,is_pf,is_n,oos_pf,oos_n,wfo_min,wfo_med,yr_pos,PASS
EURUSD,60,0,20,0.4,both,0.595,101,-2534.4,-2.06,20.8,0.766,59,0.392,42,0.03,0.27,25.0,
EURUSD,60,0,20,0.4,long,0.795,51,-656.0,-0.75,9.1,1.068,29,0.466,22,0.0,0.07,36.0,
EURUSD,60,0,30,0.35,both,0.548,65,-2297.5,-1.82,20.3,0.69,35,0.361,30,0.04,0.53,25.0,
EURUSD,60,0,30,0.35,long,0.718,28,-682.0,-0.73,9.7,1.06,16,0.283,12,0.0,0.03,30.0,
EURUSD,60,20,0,0.0,both,0.56,267,-7173.0,-3.67,57.6,0.617,154,0.499,113,0.22,0.54,8.0,
EURUSD,60,20,0,0.0,long,0.616,130,-3115.4,-2.06,24.3,0.632,73,0.596,57,0.24,0.4,33.0,
EURUSD,60,20,20,0.3,both,0.797,126,-1606.8,-1.24,19.7,0.979,70,0.617,56,0.13,0.62,50.0,
EURUSD,60,20,20,0.3,long,0.958,64,-180.2,-0.35,11.3,1.234,34,0.711,30,0.06,0.39,42.0,
EURUSD,60,20,20,0.4,both,0.655,82,-1789.2,-1.45,14.2,0.874,46,0.421,36,0.0,0.6,17.0,
EURUSD,60,20,20,0.4,long,0.838,43,-449.9,-0.55,7.5,1.063,24,0.565,19,0.0,0.07,36.0,
EURUSD,60,20,30,0.35,both,0.592,58,-1856.2,-1.48,17.4,0.776,30,0.37,28,0.04,0.59,33.0,
EURUSD,60,20,30,0.35,long,0.678,28,-824.5,-0.86,10.8,1.01,16,0.264,12,0.0,0.03,30.0,
EURUSD,60,25,0,0.0,both,0.591,164,-4562.0,-3.03,39.4,0.506,99,0.728,65,0.08,1.19,33.0,
EURUSD,60,25,0,0.0,long,0.628,82,-2249.5,-1.86,18.1,0.553,47,0.763,35,0.1,0.33,25.0,
