run,rsi_buy_max,rsi_sell_min,bw_ratio,bw_lookback,sl_atr_mult,rr,PF,WR,N,MaxDD,avg_win,avg_loss,delta_pf,verdict
308,60,40,1.0,10,2.0,2.0,1.5,40.0,15,290.3,117.3,52.1,-0.145,REJECT
309,60,40,1.0,10,2.5,1.5,1.125,40.0,15,393.6,109.9,65.1,-0.52,REJECT
310,60,40,1.0,10,2.5,2.0,1.5,40.0,15,362.9,146.6,65.1,-0.145,REJECT
311,60,40,1.0,10,3.0,1.5,2.303,57.1,14,253.3,127.4,73.7,0.658,REJECT
312,60,40,1.0,10,3.0,2.0,3.071,57.1,14,253.3,169.9,73.7,1.426,REJECT
313,60,40,1.0,20,2.0,1.5,1.86,50.0,6,56.2,92.8,49.9,0.215,REJECT
314,60,40,1.0,20,2.0,2.0,2.48,50.0,6,56.2,123.7,49.9,0.835,REJECT
315,60,40,1.0,20,2.5,1.5,1.86,50.0,6,70.2,115.9,62.3,0.215,REJECT
316,60,40,1.0,20,2.5,2.0,2.48,50.0,6,70.2,154.6,62.3,0.835,REJECT
317,60,40,1.0,20,3.0,1.5,3.027,66.7,6,84.3,126.1,83.3,1.382,REJECT
318,60,40,1.0,20,3.0,2.0,4.036,66.7,6,84.3,168.1,83.3,2.391,REJECT
319,60,40,1.0,30,2.0,1.5,0.446,16.7,6,169.0,117.1,52.5,-1.199,REJECT
320,60,40,1.0,30,2.0,2.0,0.595,16.7,6,169.0,156.1,52.5,-1.05,REJECT
321,60,40,1.0,30,2.5,1.5,0.446,16.7,6,211.3,146.4,65.6,-1.199,REJECT
322,60,40,1.0,30,2.5,2.0,0.595,16.7,6,211.3,195.1,65.6,-1.05,REJECT
323,60,40,1.0,30,3.0,1.5,0.782,33.3,6,195.6,131.2,83.9,-0.863,REJECT
324,60,40,1.0,30,3.0,2.0,1.042,33.3,6,195.6,175.0,83.9,-0.603,REJECT
325,60,40,1.2,10,2.0,1.5,1.701,50.0,8,133.2,87.7,51.5,0.056,REJECT
326,60,40,1.2,10,2.0,2.0,2.268,50.0,8,133.2,116.9,51.5,0.623,REJECT
327,60,40,1.2,10,2.5,1.5,1.701,50.0,8,166.5,109.6,64.4,0.056,REJECT
328,60,40,1.2,10,2.5,2.0,2.268,50.0,8,166.5,146.1,64.4,0.623,REJECT
329,60,40,1.2,10,3.0,1.5,4.318,71.4,7,141.9,122.6,71.0,2.673,REJECT
330,60,40,1.2,10,3.0,2.0,5.757,71.4,7,141.9,163.4,71.0,4.112,REJECT
331,60,40,1.2,20,2.0,1.5,0.0,0.0,2,94.8,0.0,47.4,-1.645,REJECT
332,60,40,1.2,20,2.0,2.0,0.0,0.0,2,94.8,0.0,47.4,-1.645,REJECT
333,60,40,1.2,20,2.5,1.5,0.0,0.0,2,118.5,0.0,59.2,-1.645,REJECT
334,60,40,1.2,20,2.5,2.0,0.0,0.0,2,118.5,0.0,59.2,-1.645,REJECT
335,60,40,1.2,20,3.0,1.5,1.03,50.0,2,84.3,86.8,84.3,-0.615,REJECT
336,60,40,1.2,20,3.0,2.0,1.373,50.0,2,84.3,115.8,84.3,-0.272,REJECT
337,60,40,1.2,30,2.0,1.5,0.0,0.0,2,94.8,0.0,47.4,-1.645,REJECT
338,60,40,1.2,30,2.0,2.0,0.0,0.0,2,94.8,0.0,47.4,-1.645,REJECT
339,60,40,1.2,30,2.5,1.5,0.0,0.0,2,118.5,0.0,59.2,-1.645,REJECT
340,60,40,1.2,30,2.5,2.0,0.0,0.0,2,118.5,0.0,59.2,-1.645,REJECT
341,60,40,1.2,30,3.0,1.5,1.03,50.0,2,84.3,86.8,84.3,-0.615,REJECT
342,60,40,1.2,30,3.0,2.0,1.373,50.0,2,84.3,115.8,84.3,-0.272,REJECT
343,60,40,1.5,10,2.0,1.5,0.0,0.0,1,56.2,0.0,56.2,-1.645,REJECT
344,60,40,1.5,10,2.0,2.0,0.0,0.0,1,56.2,0.0,56.2,-1.645,REJECT
345,60,40,1.5,10,2.5,1.5,0.0,0.0,1,70.2,0.0,70.2,-1.645,REJECT
346,60,40,1.5,10,2.5,2.0,0.0,0.0,1,70.2,0.0,70.2,-1.645,REJECT
347,60,40,1.5,10,3.0,1.5,0.0,0.0,1,84.3,0.0,84.3,-1.645,REJECT
348,60,40,1.5,10,3.0,2.0,0.0,0.0,1,84.3,0.0,84.3,-1.645,REJECT
349,60,40,1.5,20,2.0,1.5,0.0,0.0,2,94.8,0.0,47.4,-1.645,REJECT
350,60,40,1.5,20,2.0,2.0,0.0,0.0,2,94.8,0.0,47.4,-1.645,REJECT
351,60,40,1.5,20,2.5,1.5,0.0,0.0,2,118.5,0.0,59.2,-1.645,REJECT
352,60,40,1.5,20,2.5,2.0,0.0,0.0,2,118.5,0.0,59.2,-1.645,REJECT
