time,dir,pnl,reason,entry,hold_h,pair
2026-03-11 12:00:00,long,1.0160000000000105,Tmax,157.80499999999998,24.0,USDJPY
2026-03-22 20:00:00,long,-0.12699999999999023,Tmax,159.265,52.0,USDJPY
2026-05-07 08:00:00,short,-0.60699999999998,Tmax,155.806,24.0,USDJPY
2015-08-02 20:00:00,short,0.001400000000000017,Tmax,1.0982,48.0,EURUSD
2015-08-05 00:00:00,short,0.00973999999999993,TP,1.09524,8.0,EURUSD
2015-09-01 08:00:00,long,-0.0053242857142857215,SL,1.13205,0.0,EURUSD
2015-09-02 16:00:00,long,-0.0037399999999999057,Tmax,1.12642,24.0,EURUSD
2015-09-08 08:00:00,long,-0.0034921428571428837,SL,1.12049,4.0,EURUSD
2015-09-21 08:00:00,long,-0.004992142857142941,SL,1.13201,4.0,EURUSD
2015-09-24 16:00:00,long,-0.0028299999999999393,SMAbreak,1.1251799999999998,4.0,EURUSD
2015-10-29 08:00:00,short,-0.004164285714285672,SL,1.0919100000000002,12.0,EURUSD
2015-11-01 20:00:00,short,-0.0027099999999998193,Tmax,1.09963,48.0,EURUSD
2015-11-04 12:00:00,short,0.008466785714285708,TP,1.09711,24.0,EURUSD
2016-01-08 12:00:00,long,-0.004589285714285791,SL,1.0867099999999998,24.0,EURUSD
2016-02-21 20:00:00,long,-0.0013900000000000533,Tmax,1.11351,48.0,EURUSD
2016-02-26 08:00:00,long,-0.003642142857142756,SL,1.10413,12.0,EURUSD
2016-03-11 08:00:00,long,-0.005775714285714269,SL,1.11467,16.0,EURUSD
2016-03-16 12:00:00,long,-0.00383428571428573,SL,1.1112199999999999,20.0,EURUSD
2016-04-21 12:00:00,long,-0.0030264285714285922,SL,1.1328799999999999,0.0,EURUSD
2016-04-26 16:00:00,long,-0.002662857142857129,SL,1.13181,0.0,EURUSD
2016-05-29 20:00:00,short,0.005590000000000155,Tmax,1.11647,56.0,EURUSD
2016-06-16 16:00:00,short,-0.0038842857142858357,SL,1.1176000000000001,4.0,EURUSD
2016-07-13 12:00:00,short,-0.003087142857142895,SL,1.10616,16.0,EURUSD
2016-07-27 12:00:00,short,0.0008900000000000063,Tmax,1.09966,24.0,EURUSD
2016-09-02 12:00:00,long,-0.002604285714285666,SL,1.11941,20.0,EURUSD
2016-09-05 08:00:00,long,-0.000579999999999854,SMAbreak,1.1167099999999999,4.0,EURUSD
2016-09-07 16:00:00,long,0.0003300000000001125,Tmax,1.1236899999999999,24.0,EURUSD
2016-09-12 08:00:00,long,-0.0028614285714286215,SL,1.12412,8.0,EURUSD
2016-09-14 20:00:00,long,-0.0028900000000001104,SL,1.12707,4.0,EURUSD
2016-09-16 08:00:00,long,-0.002620000000000118,SL,1.12476,20.0,EURUSD
2016-10-19 12:00:00,short,0.003050000000000168,Tmax,1.0996000000000001,24.0,EURUSD
2016-12-27 08:00:00,short,-0.001942857142857075,SL,1.0435400000000001,4.0,EURUSD
2017-01-03 12:00:00,short,0.011831071428571456,TP,1.04782,24.0,EURUSD
2017-03-02 00:00:00,short,0.003590000000000153,Tmax,1.05685,24.0,EURUSD
2017-03-15 12:00:00,short,-0.000880000000000043,SMAbreak,1.06226,0.0,EURUSD
2017-04-23 20:00:00,long,-0.0026378571428571874,SL,1.0917,0.0,EURUSD
2017-04-28 12:00:00,long,-0.0036607142857144016,SL,1.09352,0.0,EURUSD
2017-05-02 12:00:00,long,0.000300000000000138,Tmax,1.09059,24.0,EURUSD
2017-05-04 12:00:00,long,0.00512928571428561,TP,1.09124,4.0,EURUSD
2017-06-13 12:00:00,long,-0.0020707142857141992,SL,1.12177,4.0,EURUSD
2017-07-07 12:00:00,long,0.0008399999999999008,Tmax,1.1387,24.0,EURUSD
2017-07-21 16:00:00,long,0.003390000000000175,Tmax,1.16342,24.0,EURUSD
2017-08-11 20:00:00,long,0.004530000000000094,Tmax,1.1774,24.0,EURUSD
2017-08-17 08:00:00,long,-0.0037135714285714784,SL,1.17699,12.0,EURUSD
2017-08-20 20:00:00,long,0.0007200000000002249,Tmax,1.1748399999999999,52.0,EURUSD
2017-09-05 04:00:00,long,-0.004102142857142883,SL,1.1910399999999999,16.0,EURUSD
2017-09-06 16:00:00,long,0.0002700000000001635,Tmax,1.19118,24.0,EURUSD
2017-09-17 20:00:00,long,-0.0012399999999999588,Tmax,1.19496,56.0,EURUSD
2017-10-26 12:00:00,short,0.006150714285714411,TP,1.17679,0.0,EURUSD
2017-11-02 00:00:00,short,-0.0026207142857142497,SL,1.1617,8.0,EURUSD
2017-11-30 16:00:00,long,-0.003759285714285683,SL,1.19232,0.0,EURUSD
2017-12-24 20:00:00,long,-0.00011999999999994898,Tmax,1.1851099999999999,48.0,EURUSD
2018-01-07 20:00:00,long,-0.0011500000000000353,Tmax,1.20479,48.0,EURUSD
2018-01-10 12:00:00,long,-0.002787142857142928,SL,1.20061,0.0,EURUSD
2018-01-12 12:00:00,long,0.009097142857142818,TP,1.2049699999999999,20.0,EURUSD
2018-02-13 12:00:00,long,0.008393571428571497,TP,1.22835,16.0,EURUSD
2018-04-09 08:00:00,short,-0.0013999999999998968,slope_exit,1.22703,8.0,EURUSD
2018-06-10 20:00:00,short,-0.0032900000000000663,SL,1.1747,56.0,EURUSD
2018-06-12 04:00:00,short,-0.002763571428571472,SL,1.1772,4.0,EURUSD
2018-06-21 12:00:00,short,-0.003326428571428559,SL,1.1580000000000001,16.0,EURUSD
2018-06-29 08:00:00,short,-0.004127142857142825,SL,1.1622000000000001,0.0,EURUSD
2018-08-09 08:00:00,short,-0.002387857142857104,SL,1.1583,0.0,EURUSD
2018-08-10 04:00:00,short,0.006173928571428531,TP,1.15647,12.0,EURUSD
2018-10-23 12:00:00,short,0.001500000000000228,Tmax,1.1494900000000001,24.0,EURUSD
2018-10-30 12:00:00,short,0.0029000000000000735,Tmax,1.13935,24.0,EURUSD
2018-11-05 12:00:00,short,-0.003007857142857169,SL,1.13714,0.0,EURUSD
2018-11-21 04:00:00,short,-0.0028171428571429026,SL,1.1366100000000001,8.0,EURUSD
2018-11-22 08:00:00,short,-0.0031821428571428513,SL,1.13932,16.0,EURUSD
2018-11-23 16:00:00,short,0.00773464285714289,TP,1.14056,24.0,EURUSD
2019-02-14 16:00:00,short,-0.0015399999999999258,Tmax,1.1286,24.0,EURUSD
2019-02-17 20:00:00,short,-0.00014000000000008,Tmax,1.1294,68.0,EURUSD
2019-03-03 20:00:00,short,-0.0018099999999999182,SMAbreak,1.13574,48.0,EURUSD
2019-04-12 00:00:00,short,-0.0017928571428572025,SL,1.1259000000000001,4.0,EURUSD
2019-05-03 16:00:00,short,-0.0016299999999998492,Tmax,1.11837,24.0,EURUSD
2019-05-29 12:00:00,short,0.003268571428571506,TP,1.11758,20.0,EURUSD
2019-06-27 04:00:00,long,-0.0021821428571429614,SL,1.1374,4.0,EURUSD
2019-06-28 16:00:00,long,-0.0020700000000000674,SL,1.13875,8.0,EURUSD
2019-08-04 20:00:00,short,-0.0005299999999997484,Tmax,1.1102800000000002,56.0,EURUSD
2019-08-09 12:00:00,short,-0.002819285714285742,SL,1.11863,16.0,EURUSD
2019-08-11 20:00:00,short,-0.000599999999999985,Tmax,1.12019,48.0,EURUSD
2019-08-12 08:00:00,short,-0.002467857142857184,SL,1.11669,0.0,EURUSD
2019-09-11 00:00:00,short,-0.0018521428571427977,SL,1.10359,12.0,EURUSD
2019-09-11 12:00:00,short,0.004090000000000066,TP,1.1033600000000001,4.0,EURUSD
2019-10-02 12:00:00,short,-0.0020100000000001185,SL,1.0919100000000002,4.0,EURUSD
2019-10-24 08:00:00,long,-0.0017785714285714581,SL,1.1147399999999998,0.0,EURUSD
2019-12-26 08:00:00,long,-0.0013064285714286482,SL,1.1095,8.0,EURUSD
2019-12-27 04:00:00,long,0.0027917857142857605,TP,1.10996,12.0,EURUSD
2020-01-07 04:00:00,long,-0.002382857142857071,SL,1.12038,16.0,EURUSD
2020-01-13 08:00:00,long,-0.0015435714285714729,SL,1.1129799999999999,4.0,EURUSD
2020-01-14 12:00:00,long,-0.0016285714285713636,SL,1.11336,20.0,EURUSD
2020-02-05 16:00:00,short,0.004232857142857075,TP,1.10378,24.0,EURUSD
2020-04-01 04:00:00,long,-0.0054042857142858015,SL,1.10323,8.0,EURUSD
2020-05-14 16:00:00,short,0.0035400000000000474,Tmax,1.08355,24.0,EURUSD
2020-06-23 12:00:00,long,0.007293571428571468,TP,1.12607,20.0,EURUSD
2020-07-12 20:00:00,long,-0.0009300000000001485,Tmax,1.13172,52.0,EURUSD
2020-09-29 08:00:00,short,-0.0027285714285714647,SL,1.16595,16.0,EURUSD
