corr_window,z_entry,z_exit,hold_period,tp_mult,sl_mult,n,wins,losses,win_rate,pf,avg_hold,max_dd,gross_profit,gross_loss
120,2.0,0.3,5,2.5,1.5,32,17,15,53.1,1.342,6.1,-0.055309,0.125231,0.093333
120,2.0,0.3,10,2.5,1.5,23,12,11,52.2,1.239,10.2,-0.049635,0.107665,0.08688
120,2.0,0.3,15,2.5,1.5,21,10,11,47.6,1.03,12.5,-0.0647,0.123179,0.119616
120,2.0,0.3,20,2.5,1.5,21,9,12,42.9,1.059,13.7,-0.0647,0.13248,0.125134
120,2.0,0.5,5,2.5,1.5,32,17,15,53.1,1.342,6.1,-0.055309,0.125231,0.093333
120,2.0,0.5,10,2.5,1.5,23,12,11,52.2,1.209,10.1,-0.049635,0.105005,0.08688
120,2.0,0.5,15,2.5,1.5,21,10,11,47.6,1.008,12.3,-0.0647,0.120519,0.119616
120,2.0,0.5,20,2.5,1.5,21,9,12,42.9,1.026,13.5,-0.0647,0.12835,0.125134
60,2.0,0.0,5,1.5,1.0,42,21,21,50.0,1.345,4.3,-0.042104,0.149869,0.111406
60,2.0,0.0,5,1.5,1.5,35,19,16,54.3,1.688,5.1,-0.031647,0.146517,0.086797
60,2.0,0.0,5,1.5,2.0,34,18,16,52.9,1.924,5.3,-0.028505,0.153655,0.079863
60,2.0,0.0,5,2.0,1.0,39,18,21,46.2,1.272,4.8,-0.038564,0.144329,0.113427
60,2.0,0.0,5,2.0,1.5,32,16,16,50.0,1.522,5.8,-0.030002,0.132713,0.08719
60,2.0,0.0,5,2.0,2.0,31,15,16,48.4,1.739,6.0,-0.032674,0.13953,0.080256
60,2.0,0.0,5,2.5,1.0,38,17,21,44.7,1.301,5.3,-0.035024,0.140914,0.108277
60,2.0,0.0,5,2.5,1.5,32,15,17,46.9,1.537,6.2,-0.030002,0.136566,0.088859
60,2.0,0.0,5,2.5,2.0,31,14,17,45.2,1.719,6.6,-0.032674,0.140853,0.081925
60,2.0,0.0,5,3.0,1.0,38,17,21,44.7,1.239,5.4,-0.040224,0.134124,0.108277
60,2.0,0.0,5,3.0,1.5,32,15,17,46.9,1.46,6.2,-0.030002,0.129753,0.088859
60,2.0,0.0,5,3.0,2.0,31,14,17,45.2,1.743,6.7,-0.032674,0.142828,0.081925
