pair,direction,entry_time,exit_time,entry,exit,sl,tp,D,pnl_price,pnl_net,result,bars_held
GBPJPY,LONG,2024-02-13 07:00:00,2024-02-13 15:00:00,188.859,189.63293,188.08507,189.63293,1.013,0.77393,0.75393,TP,8
GBPJPY,SHORT,2024-03-01 14:00:00,2024-03-04 02:00:00,189.864,190.18106,190.18106,189.54694,0.415,-0.31706,-0.33706,SL,12
GBPJPY,LONG,2024-04-05 08:00:00,2024-04-05 13:00:00,191.283,190.81314,190.81314,191.75286,0.615,-0.46986,-0.48986,SL,5
GBPJPY,SHORT,2024-04-16 02:00:00,2024-04-16 07:00:00,191.733,192.19751,192.19751,191.26849,0.608,-0.46451,-0.48451,SL,5
GBPJPY,LONG,2024-04-18 04:00:00,2024-04-18 11:00:00,192.364,192.72537,192.00263,192.72537,0.473,0.36137,0.34137,TP,7
GBPJPY,SHORT,2024-06-04 07:00:00,2024-06-04 08:00:00,199.399,198.62354,200.17446,198.62354,1.015,0.77546,0.75546,TP,1
GBPJPY,SHORT,2024-07-17 08:00:00,2024-07-17 23:00:00,204.124,202.85882,205.38918,202.85882,1.656,1.26518,1.24518,TP,15
GBPJPY,LONG,2024-08-23 13:00:00,2024-09-04 17:00:00,192.007,189.11908,189.11908,194.89492,3.78,-2.88792,-2.90792,SL,196
GBPJPY,SHORT,2024-09-10 14:00:00,2024-09-11 03:00:00,186.404,185.1136,187.6944,185.1136,1.689,1.2904,1.2704,TP,13
GBPJPY,LONG,2024-10-14 14:00:00,2024-10-23 05:00:00,195.611,197.69672,193.52528,197.69672,2.73,2.08572,2.06572,TP,159
GBPJPY,SHORT,2024-11-13 14:00:00,2024-11-13 17:00:00,196.845,197.50968,197.50968,196.18032,0.87,-0.66468,-0.68468,SL,3
GBPJPY,LONG,2024-12-09 07:00:00,2024-12-09 08:00:00,191.28,191.8064,190.7536,191.8064,0.689,0.5264,0.5064,TP,1
GBPJPY,SHORT,2025-02-02 22:00:00,2025-02-02 23:00:00,191.587,190.4876,192.6864,190.4876,1.439,1.0994,1.0794,TP,1
GBPJPY,SHORT,2025-02-21 15:00:00,2025-02-28 02:00:00,189.154,187.79484,190.51316,187.79484,1.779,1.35916,1.33916,TP,107
GBPJPY,LONG,2025-04-22 22:00:00,2025-04-25 13:00:00,189.637,191.30328,187.97072,191.30328,2.181,1.66628,1.64628,TP,63
GBPJPY,SHORT,2025-05-07 18:00:00,2025-05-08 02:00:00,191.046,191.51586,191.51586,190.57614,0.615,-0.46986,-0.48986,SL,8
GBPJPY,SHORT,2025-05-20 05:00:00,2025-05-21 21:00:00,193.28,192.57177,193.98823,192.57177,0.927,0.70823,0.68823,TP,40
GBPJPY,LONG,2025-06-16 18:00:00,2025-06-18 18:00:00,196.439,194.3869,194.3869,198.4911,2.686,-2.0521,-2.0721,SL,48
GBPJPY,SHORT,2025-07-29 05:00:00,2025-07-31 14:00:00,197.867,198.89229,198.89229,196.84171,1.342,-1.02529,-1.04529,SL,57
GBPJPY,SHORT,2025-08-29 08:00:00,2025-09-01 12:00:00,198.004,199.16528,199.16528,196.84272,1.52,-1.16128,-1.18128,SL,28
GBPJPY,LONG,2025-09-03 08:00:00,2025-09-03 12:00:00,199.034,199.45649,198.61151,199.45649,0.553,0.42249,0.40249,TP,4
GBPJPY,SHORT,2025-10-16 16:00:00,2025-10-20 01:00:00,201.744,203.03134,203.03134,200.45666,1.685,-1.28734,-1.30734,SL,33
GBPJPY,SHORT,2025-11-04 09:00:00,2025-11-05 01:00:00,200.981,199.24061,202.72139,199.24061,2.278,1.74039,1.72039,TP,16
GBPJPY,LONG,2025-11-17 12:00:00,2025-11-20 01:00:00,204.067,205.38643,202.74757,205.38643,1.727,1.31943,1.29943,TP,61
GBPJPY,LONG,2025-12-05 12:00:00,2025-12-08 14:00:00,207.019,207.65541,206.38259,207.65541,0.833,0.63641,0.61641,TP,26
GBPJPY,SHORT,2025-12-17 07:00:00,2025-12-17 08:00:00,207.542,207.20278,207.88122,207.20278,0.444,0.33922,0.31922,TP,1
GBPJPY,LONG,2026-01-05 15:00:00,2026-01-06 00:00:00,211.405,212.08878,210.72122,212.08878,0.895,0.68378,0.66378,TP,9
GBPJPY,SHORT,2026-01-21 11:00:00,2026-01-22 04:00:00,211.744,213.07947,213.07947,210.40853,1.748,-1.33547,-1.35547,SL,17
GBPJPY,SHORT,2026-01-29 15:00:00,2026-01-30 01:00:00,210.063,211.66816,211.66816,208.45784,2.101,-1.60516,-1.62516,SL,10
GBPJPY,LONG,2026-02-24 02:00:00,2026-02-24 07:00:00,209.222,210.04941,208.39459,210.04941,1.083,0.82741,0.80741,TP,5
GBPJPY,SHORT,2026-03-19 07:00:00,2026-03-19 08:00:00,211.691,211.18905,212.19295,211.18905,0.657,0.50195,0.48195,TP,1
GBPJPY,SHORT,2026-04-23 21:00:00,2026-04-24 17:00:00,214.917,215.53813,215.53813,214.29587,0.813,-0.62113,-0.64113,SL,20
GBPJPY,SHORT,2026-05-06 04:00:00,2026-05-08 20:00:00,211.756,213.64155,213.64155,209.87045,2.468,-1.88555,-1.90555,SL,64
EURJPY,LONG,2016-01-15 14:00:00,2016-01-15 18:00:00,128.15,127.79092,127.79092,128.50908,0.47,-0.35908,-0.37908,SL,4
EURJPY,SHORT,2016-01-20 07:00:00,2016-01-20 09:00:00,127.746,127.12563,128.36637,127.12563,0.812,0.62037,0.60037,TP,2
EURJPY,LONG,2016-01-26 13:00:00,2016-01-26 16:00:00,128.276,128.62515,127.92685,128.62515,0.457,0.34915,0.32915,TP,3
EURJPY,SHORT,2016-03-22 01:00:00,2016-03-22 02:00:00,125.776,125.99374,125.99374,125.55826,0.285,-0.21774,-0.23774,SL,1
EURJPY,LONG,2016-04-22 12:00:00,2016-04-27 17:00:00,124.96,126.17629,123.74371,126.17629,1.592,1.21629,1.19629,TP,77
