trades,winrate,pf,total_pips,max_dd_pips,f1,f3,f4,f5,f6b,f6s,score
830,0.41927710843373495,1.0829875518669951,400,-365,,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,,,13.081684252367122
861,0.41579558652729387,1.06759443339939,340,-345,,2.1,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",40.0,45.0,55.0,13.02530050267264
867,0.41522491349480967,1.0650887573962395,330,-375,,2.1,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",50.0,,,13.022031828569565
867,0.41522491349480967,1.0650887573962395,330,-375,,2.1,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",,,,13.022031828569565
876,0.4143835616438356,1.0614035087717228,315,-365,0.005,2.1,None,30.0,40.0,60.0,13.017724943611768
717,0.4295676429567643,1.1295843520779634,530,-255,0.004,2.1,None,,40.0,60.0,12.993011002631125
717,0.4295676429567643,1.1295843520779634,530,-255,0.004,2.1,None,30.0,40.0,60.0,12.993011002631125
717,0.4295676429567643,1.1295843520779634,530,-255,0.004,2.1,None,40.0,40.0,60.0,12.993011002631125
717,0.4295676429567643,1.1295843520779634,530,-255,0.004,2.1,None,50.0,40.0,60.0,12.993011002631125
877,0.41391106043329534,1.059338521400572,305,-365,0.005,2.1,None,,40.0,60.0,12.984989220918386
877,0.41391106043329534,1.059338521400572,305,-365,0.005,2.1,None,40.0,40.0,60.0,12.984989220918386
877,0.41391106043329534,1.059338521400572,305,-365,0.005,2.1,None,50.0,40.0,60.0,12.984989220918386
801,0.4207240948813982,1.089439655172179,415,-360,,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",30.0,45.0,55.0,12.97229517612245
730,0.4273972602739726,1.1196172248801148,500,-320,,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",30.0,40.0,60.0,12.928934500022448
865,0.4138728323699422,1.059171597632927,300,-375,,2.1,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",40.0,,,12.892623470893968
743,0.423956931359354,1.1039719626165643,445,-290,,2.3,None,30.0,40.0,60.0,12.757753033010541
816,0.4166666666666667,1.0714285714283462,340,-310,,2.1,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",50.0,40.0,60.0,12.75255076525241
816,0.4166666666666667,1.0714285714283462,340,-310,,2.1,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",,40.0,60.0,12.75255076525241
811,0.41676942046855736,1.071881606765101,340,-370,,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",30.0,,,12.721932640594495
814,0.4152334152334152,1.0651260504199442,310,-310,,2.1,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",40.0,40.0,60.0,12.61843527668147
842,0.41211401425178146,1.051515151514939,255,-360,,2.1,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",30.0,45.0,55.0,12.574449004821505
846,0.4101654846335697,1.0430861723444802,215,-390,,2.1,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",30.0,,,12.444128340756528
772,0.4170984455958549,1.0733333333330948,330,-285,,2.2,None,,35.0,65.0,12.438896050101842
767,0.4172099087353325,1.0738255033554645,330,-285,,2.2,None,50.0,35.0,65.0,12.407549331310944
766,0.4164490861618799,1.0704697986574785,315,-290,,2.2,None,40.0,35.0,65.0,12.338169073785595
622,0.43086816720257237,1.1355932203386623,480,-265,0.004,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",30.0,45.0,55.0,12.20288146644877
622,0.43086816720257237,1.1355932203386623,480,-265,0.004,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50.0,45.0,55.0,12.20288146644877
622,0.43086816720257237,1.1355932203386623,480,-265,0.004,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",40.0,45.0,55.0,12.20288146644877
622,0.43086816720257237,1.1355932203386623,480,-265,0.004,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,45.0,55.0,12.20288146644877
643,0.4276827371695179,1.1209239130431736,445,-265,0.004,2.2,None,50.0,45.0,55.0,12.156354086325287
643,0.4276827371695179,1.1209239130431736,445,-265,0.004,2.2,None,40.0,45.0,55.0,12.156354086325287
643,0.4276827371695179,1.1209239130431736,445,-265,0.004,2.2,None,,45.0,55.0,12.156354086325287
643,0.4276827371695179,1.1209239130431736,445,-265,0.004,2.2,None,30.0,45.0,55.0,12.156354086325287
795,0.41132075471698115,1.048076923076699,225,-325,,2.1,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",30.0,40.0,60.0,12.15506671763568
598,0.4331103678929766,1.1460176991147062,495,-225,0.003,,None,,45.0,55.0,12.137814529590981
598,0.4331103678929766,1.1460176991147062,495,-225,0.003,,None,30.0,45.0,55.0,12.137814529590981
598,0.4331103678929766,1.1460176991147062,495,-225,0.003,,None,50.0,45.0,55.0,12.137814529590981
598,0.4331103678929766,1.1460176991147062,495,-225,0.003,,None,40.0,45.0,55.0,12.137814529590981
554,0.43862815884476536,1.172025723472292,535,-195,0.004,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",30.0,40.0,60.0,12.100088168584982
554,0.43862815884476536,1.172025723472292,535,-195,0.004,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",40.0,40.0,60.0,12.100088168584982
554,0.43862815884476536,1.172025723472292,535,-195,0.004,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50.0,40.0,60.0,12.100088168584982
554,0.43862815884476536,1.172025723472292,535,-195,0.004,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,40.0,60.0,12.100088168584982
761,0.41392904073587383,1.0594170403585068,265,-325,0.005,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",30.0,45.0,55.0,12.097208878652955
773,0.4126778783958603,1.0539647577090188,245,-345,0.005,2.2,None,30.0,45.0,55.0,12.092804319180601
645,0.4263565891472868,1.1148648648645636,425,-265,0.004,2.2,None,40.0,,,12.071884325917821
645,0.4263565891472868,1.1148648648645636,425,-265,0.004,2.2,None,30.0,,,12.071884325917821
645,0.4263565891472868,1.1148648648645636,425,-265,0.004,2.2,None,50.0,,,12.071884325917821
645,0.4263565891472868,1.1148648648645636,425,-265,0.004,2.2,None,,,,12.071884325917821
762,0.41338582677165353,1.0570469798655353,255,-325,0.005,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",,45.0,55.0,12.062223128238932
762,0.41338582677165353,1.0570469798655353,255,-325,0.005,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",40.0,45.0,55.0,12.062223128238932
762,0.41338582677165353,1.0570469798655353,255,-325,0.005,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",50.0,45.0,55.0,12.062223128238932
774,0.41214470284237725,1.0516483516481203,235,-345,0.005,2.2,None,40.0,45.0,55.0,12.05842948786009
774,0.41214470284237725,1.0516483516481203,235,-345,0.005,2.2,None,50.0,45.0,55.0,12.05842948786009
774,0.41214470284237725,1.0516483516481203,235,-345,0.005,2.2,None,,45.0,55.0,12.05842948786009
775,0.41161290322580646,1.0493421052629277,225,-345,0.005,2.2,None,30.0,,,12.024220486541203
781,0.41101152368758004,1.046739130434555,215,-390,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",,35.0,65.0,12.023141968088213
781,0.41101152368758004,1.046739130434555,215,-390,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",50.0,35.0,65.0,12.023141968088213
713,0.4179523141654979,1.0771084337346801,320,-330,0.005,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",40.0,45.0,55.0,12.020732299623566
713,0.4179523141654979,1.0771084337346801,320,-330,0.005,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,45.0,55.0,12.020732299623566
713,0.4179523141654979,1.0771084337346801,320,-330,0.005,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50.0,45.0,55.0,12.020732299623566
776,0.4110824742268041,1.047045951859727,215,-345,0.005,2.2,None,50.0,,,11.990176178186596
776,0.4110824742268041,1.047045951859727,215,-345,0.005,2.2,None,40.0,,,11.990176178186596
776,0.4110824742268041,1.047045951859727,215,-345,0.005,2.2,None,,,,11.990176178186596
712,0.41713483146067415,1.0734939759033557,305,-330,0.005,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",30.0,45.0,55.0,11.948573630353014
632,0.42563291139240506,1.111570247933578,405,-285,0.004,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",40.0,,,11.894074512443005
632,0.42563291139240506,1.111570247933578,405,-285,0.004,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50.0,,,11.894074512443005
632,0.42563291139240506,1.111570247933578,405,-285,0.004,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",30.0,,,11.894074512443005
632,0.42563291139240506,1.111570247933578,405,-285,0.004,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,,,11.894074512443005
767,0.4106910039113429,1.0453539823006537,205,-355,0.005,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",30.0,,,11.88984655507858
779,0.40949935815147626,1.0402173913041215,185,-390,,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",40.0,35.0,65.0,11.889020192089228
723,0.4149377593360996,1.063829787233791,270,-290,,2.2,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",50.0,45.0,55.0,11.869276648490837
723,0.4149377593360996,1.063829787233791,270,-290,,2.2,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",,45.0,55.0,11.869276648490837
768,0.41015625,1.0430463576156637,195,-355,0.005,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",,,,11.85587343963741
768,0.41015625,1.0430463576156637,195,-355,0.005,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",40.0,,,11.85587343963741
768,0.41015625,1.0430463576156637,195,-355,0.005,,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",50.0,,,11.85587343963741
724,0.4143646408839779,1.0613207547167307,260,-290,,2.2,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",,,,11.833102564073558
724,0.4143646408839779,1.0613207547167307,260,-290,,2.2,"[21, 22, 23, 0, 1, 2, 3, 4, 5]",50.0,,,11.833102564073558
683,0.41874084919472915,1.0806045340047656,320,-380,,2.1,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",40.0,45.0,55.0,11.825580443152825
608,0.4276315789473684,1.1206896551720917,420,-245,0.003,,None,40.0,,,11.81699145305646
608,0.4276315789473684,1.1206896551720917,420,-245,0.003,,None,,,,11.81699145305646
608,0.4276315789473684,1.1206896551720917,420,-245,0.003,,None,30.0,,,11.81699145305646
608,0.4276315789473684,1.1206896551720917,420,-245,0.003,,None,50.0,,,11.81699145305646
740,0.41216216216216217,1.0517241379307927,225,-325,,2.2,None,30.0,35.0,65.0,11.791955210389784
629,0.424483306836248,1.1063535911599154,385,-390,,2.1,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",40.0,40.0,60.0,11.778226142244563
723,0.4135546334716459,1.057783018867675,245,-350,0.005,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,,,11.762472754158326
723,0.4135546334716459,1.057783018867675,245,-350,0.005,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",50.0,,,11.762472754158326
723,0.4135546334716459,1.057783018867675,245,-350,0.005,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",40.0,,,11.762472754158326
644,0.422360248447205,1.0967741935480924,360,-260,0.005,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",,40.0,60.0,11.755556511124588
644,0.422360248447205,1.0967741935480924,360,-260,0.005,,"[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",40.0,40.0,60.0,11.755556511124588
